;monument;count;cumul_count;year;month;id_month
321;pont_du_raltio;150;1056;2019;JUILLET;7
32;colisee;917;7930;2019;AOUT;8
90;doges;148;1443;2019;AOUT;8
148;fontaine_de_trevi;1094;9535;2019;AOUT;8
206;pantheon;402;4089;2019;AOUT;8
264;piazza_san_marco;184;1651;2019;AOUT;8
322;pont_du_raltio;141;1197;2019;AOUT;8
33;colisee;1083;9013;2019;SEPTEMBRE;9
91;doges;210;1653;2019;SEPTEMBRE;9
149;fontaine_de_trevi;1441;10976;2019;SEPTEMBRE;9
207;pantheon;537;4626;2019;SEPTEMBRE;9
265;piazza_san_marco;246;1897;2019;SEPTEMBRE;9
323;pont_du_raltio;193;1390;2019;SEPTEMBRE;9
34;colisee;1105;10118;2019;OCTOBRE;10
92;doges;185;1838;2019;OCTOBRE;10
150;fontaine_de_trevi;1418;12394;2019;OCTOBRE;10
208;pantheon;526;5152;2019;OCTOBRE;10
266;piazza_san_marco;209;2106;2019;OCTOBRE;10
324;pont_du_raltio;140;1530;2019;OCTOBRE;10
35;colisee;665;10783;2019;NOVEMBRE;11
93;doges;98;1936;2019;NOVEMBRE;11
151;fontaine_de_trevi;773;13167;2019;NOVEMBRE;11
209;pantheon;300;5452;2019;NOVEMBRE;11
267;piazza_san_marco;103;2209;2019;NOVEMBRE;11
325;pont_du_raltio;87;1617;2019;NOVEMBRE;11
36;colisee;486;11269;2019;DECEMBRE;12
94;doges;63;1999;2019;DECEMBRE;12
152;fontaine_de_trevi;510;13677;2019;DECEMBRE;12
210;pantheon;225;5677;2019;DECEMBRE;12
268;piazza_san_marco;65;2274;2019;DECEMBRE;12
326;pont_du_raltio;43;1660;2019;DECEMBRE;12
37;colisee;589;589;2020;JANVIER;1
95;doges;88;88;2020;JANVIER;1
153;fontaine_de_trevi;620;620;2020;JANVIER;1
211;pantheon;258;258;2020;JANVIER;1
269;piazza_san_marco;97;97;2020;JANVIER;1
327;pont_du_raltio;55;55;2020;JANVIER;1
38;colisee;467;1056;2020;FEVRIER;2
96;doges;70;158;2020;FEVRIER;2
154;fontaine_de_trevi;526;1146;2020;FEVRIER;2
212;pantheon;225;483;2020;FEVRIER;2
270;piazza_san_marco;96;193;2020;FEVRIER;2
328;pont_du_raltio;55;110;2020;FEVRIER;2
39;colisee;106;1162;2020;MARS;3
97;doges;9;167;2020;MARS;3
155;fontaine_de_trevi;118;1264;2020;MARS;3
213;pantheon;50;533;2020;MARS;3
271;piazza_san_marco;13;206;2020;MARS;3
329;pont_du_raltio;10;120;2020;MARS;3
40;colisee;14;1176;2020;AVRIL;4
98;doges;1;168;2020;AVRIL;4
156;fontaine_de_trevi;8;1272;2020;AVRIL;4
214;pantheon;2;535;2020;AVRIL;4
272;piazza_san_marco;2;208;2020;AVRIL;4
330;pont_du_raltio;23;143;2020;AVRIL;4
41;colisee;15;1191;2020;MAI;5
99;doges;3;171;2020;MAI;5
157;fontaine_de_trevi;9;1281;2020;MAI;5
215;pantheon;10;545;2020;MAI;5
273;piazza_san_marco;3;211;2020;MAI;5
331;pont_du_raltio;1;144;2020;MAI;5
42;colisee;38;1229;2020;JUIN;6
100;doges;22;193;2020;JUIN;6
158;fontaine_de_trevi;33;1314;2020;JUIN;6
216;pantheon;20;565;2020;JUIN;6
274;piazza_san_marco;23;234;2020;JUIN;6
332;pont_du_raltio;10;154;2020;JUIN;6
43;colisee;138;1367;2020;JUILLET;7
101;doges;50;243;2020;JUILLET;7
159;fontaine_de_trevi;119;1433;2020;JUILLET;7
217;pantheon;76;641;2020;JUILLET;7
275;piazza_san_marco;37;271;2020;JUILLET;7
333;pont_du_raltio;25;179;2020;JUILLET;7
44;colisee;190;1557;2020;AOUT;8
102;doges;79;322;2020;AOUT;8
160;fontaine_de_trevi;149;1582;2020;AOUT;8
218;pantheon;64;705;2020;AOUT;8
276;piazza_san_marco;49;320;2020;AOUT;8
334;pont_du_raltio;37;216;2020;AOUT;8
45;colisee;182;1739;2020;SEPTEMBRE;9
103;doges;89;411;2020;SEPTEMBRE;9
161;fontaine_de_trevi;203;1785;2020;SEPTEMBRE;9
219;pantheon;66;771;2020;SEPTEMBRE;9
277;piazza_san_marco;68;388;2020;SEPTEMBRE;9
335;pont_du_raltio;69;285;2020;SEPTEMBRE;9
46;colisee;137;1876;2020;OCTOBRE;10
104;doges;36;447;2020;OCTOBRE;10
162;fontaine_de_trevi;90;1875;2020;OCTOBRE;10
220;pantheon;43;814;2020;OCTOBRE;10
278;piazza_san_marco;23;411;2020;OCTOBRE;10
336;pont_du_raltio;24;309;2020;OCTOBRE;10
47;colisee;68;1944;2020;NOVEMBRE;11
105;doges;1;448;2020;NOVEMBRE;11
163;fontaine_de_trevi;48;1923;2020;NOVEMBRE;11
221;pantheon;26;840;2020;NOVEMBRE;11
279;piazza_san_marco;5;416;2020;NOVEMBRE;11
337;pont_du_raltio;4;313;2020;NOVEMBRE;11
48;colisee;19;1963;2020;DECEMBRE;12
106;doges;1;449;2020;DECEMBRE;12
164;fontaine_de_trevi;11;1934;2020;DECEMBRE;12
222;pantheon;8;848;2020;DECEMBRE;12
280;piazza_san_marco;1;417;2020;DECEMBRE;12
338;pont_du_raltio;1;314;2020;DECEMBRE;12
49;colisee;10;10;2021;JANVIER;1
107;doges;0;0;2021;JANVIER;1
165;fontaine_de_trevi;12;12;2021;JANVIER;1
223;pantheon;3;3;2021;JANVIER;1
281;piazza_san_marco;3;3;2021;JANVIER;1
339;pont_du_raltio;1;1;2021;JANVIER;1
50;colisee;22;32;2021;FEVRIER;2
108;doges;0;0;2021;FEVRIER;2
166;fontaine_de_trevi;13;25;2021;FEVRIER;2
224;pantheon;11;14;2021;FEVRIER;2
282;piazza_san_marco;5;8;2021;FEVRIER;2
340;pont_du_raltio;2;3;2021;FEVRIER;2
51;colisee;6;38;2021;MARS;3
109;doges;0;0;2021;MARS;3
167;fontaine_de_trevi;2;27;2021;MARS;3
225;pantheon;6;20;2021;MARS;3
283;piazza_san_marco;1;9;2021;MARS;3
341;pont_du_raltio;1;4;2021;MARS;3
52;colisee;6;44;2021;AVRIL;4
110;doges;0;0;2021;AVRIL;4
168;fontaine_de_trevi;10;37;2021;AVRIL;4
226;pantheon;3;23;2021;AVRIL;4
284;piazza_san_marco;6;15;2021;AVRIL;4
342;pont_du_raltio;1;5;2021;AVRIL;4
53;colisee;43;87;2021;MAI;5
111;doges;0;0;2021;MAI;5
169;fontaine_de_trevi;25;62;2021;MAI;5
227;pantheon;20;43;2021;MAI;5
285;piazza_san_marco;6;21;2021;MAI;5
343;pont_du_raltio;6;11;2021;MAI;5
54;colisee;56;143;2021;JUIN;6
112;doges;0;0;2021;JUIN;6
170;fontaine_de_trevi;42;104;2021;JUIN;6
228;pantheon;23;66;2021;JUIN;6
286;piazza_san_marco;21;42;2021;JUIN;6
344;pont_du_raltio;11;22;2021;JUIN;6
55;colisee;74;217;2021;JUILLET;7
113;doges;0;0;2021;JUILLET;7
171;fontaine_de_trevi;54;158;2021;JUILLET;7
229;pantheon;30;96;2021;JUILLET;7
287;piazza_san_marco;13;55;2021;JUILLET;7
345;pont_du_raltio;7;29;2021;JUILLET;7
56;colisee;75;292;2021;AOUT;8
114;doges;0;0;2021;AOUT;8
172;fontaine_de_trevi;32;190;2021;AOUT;8
230;pantheon;18;114;2021;AOUT;8
288;piazza_san_marco;15;70;2021;AOUT;8
346;pont_du_raltio;7;36;2021;AOUT;8
57;colisee;104;396;2021;SEPTEMBRE;9
115;doges;0;0;2021;SEPTEMBRE;9
173;fontaine_de_trevi;78;268;2021;SEPTEMBRE;9
231;pantheon;44;158;2021;SEPTEMBRE;9
289;piazza_san_marco;21;91;2021;SEPTEMBRE;9
347;pont_du_raltio;12;48;2021;SEPTEMBRE;9
58;colisee;97;493;2021;OCTOBRE;10
116;doges;0;0;2021;OCTOBRE;10
174;fontaine_de_trevi;35;303;2021;OCTOBRE;10
232;pantheon;15;173;2021;OCTOBRE;10
290;piazza_san_marco;6;97;2021;OCTOBRE;10
348;pont_du_raltio;2;50;2021;OCTOBRE;10
